Equipo,Liga,Pj,Pts,GF,GC,champions_pj,Champ_Pts,Champ_GF,Champ_GC
Arsenal,Premier League,30,67,59,22,8,24,23,4
Manchester City,Premier League,29,60,59,27,8,16,15,9
Chelsea,Premier League,29,48,53,34,8,16,17,10
Liverpool,Premier League,29,48,48,39,8,18,20,8
Newcastle United,Premier League,29,39,42,43,10,20,26,10
Tottenham Hotspur,Premier League,29,29,39,46,8,17,17,7
Real Madrid,La Liga,27,63,56,23,10,21,24,13
Barcelona,La Liga,26,64,71,26,8,16,22,14
Atlético Madrid,La Liga,26,51,43,23,10,17,24,19
Bayern Munich,Bundesliga,25,66,92,24,8,21,22,8
Bayer Leverkusen,Bundesliga,24,43,45,29,10,16,15,14
Atalanta,Serie A,27,45,37,24,10,16,14,13
Galatasaray,Süper Lig,24,58,58,18,10,13,16,16
Sporting Lisboa,Primeira Liga,24,61,62,12,8,16,17,11
Bodø/Glimt,Eliteserien,30,70,85,28,10,15,19,17
Paris Saint-Germain,Ligue 1,25,57,54,22,10,18,26,15
